original,0
"The Socratic Method (or Method of Elenchus or Socratic Debate), named after the Classical Greek philosopher Socrates, is a form of inquiry and debate between individuals with opposing viewpoints based on asking and answering questions to stimulate rational thinking and to illuminate ideas.","The Socratic Method, names after Socrates, is a type of debate system between people who had opposite views. They ask and answer questions to grow rational thinking and create ideas."
"Ann Arbor had set aside 40 acres (16 ha) that it hoped would become the site for a new state capitol, but it offered this land to the university when Lansing was chosen as the state capital.","Ann Arbor has 40 acres it hopes would be a new state capitol site. However, it gave this land to the university when Lansing became the state capital."
"In the Philippines, oregano, Plectranthus amboinicus, is not commonly used as a cooking ingredient but is primarily considered a medicinal plant, useful for relieving children's coughs.","In the Pillippines, Oregano is not usually used for cooking. It is mainly a medical plant used to get rid of children's coughs."
"On the afternoon of September 30, Laura had acquired enough tropical characteristics to be designated a Tropical Storm.","On September 30 in the afternoon, Laura had enough tropical traits to be a Tropical Storm."
"However, there are many compounds that are essentially, if not completely, insoluble in water.",There are many compounds that don't dissolve in water.
"An episode of Due South, ""Dr. Long Ball"", was filmed at Arnold Anderson Stadium in Cockshutt Park.","The episode of Due South, ""Dr. Long Ball"", was filmed at Arnold Anderson Stadium in Cockshutt Park."
"He was initially offered a salary of $50,000 as well as a percentage of ownership of the company.","He was first offered a salary of $50,000 as well as a percentage of ownership of the company."
"When the Reichstag voted to repeal the budget, Brüning had Hindenburg dissolve the Reichstag, just two years into its mandate, and reapprove the budget through the Article 48 mechanism.","When the Reichstag voted to remove the budget, Brüning had Hindenburg get rid of the Reichstag, just two years into its mandate. The budget was re-approved through the Article 48 mechanism."
"FCW's debut show was on June 26, 2007 at Tampa, Florida's Dallas Bull.","FCW's first show was on June 26, 2007 at Tampa, Florida's Dallas Bull."
"Oxnard is the largest city in Ventura County, California in terms of population.","Oxnard is the largest city in Ventura County, California in terms of amount of people."
"On Sunday, August 28, Canadian National Railway (CN) suspended all rail traffic on its lines south of McComb, Mississippi (lines owned by its subsidiary Illinois Central Railroad that extend into New Orleans), in anticipation of damage from the hurricane.","On Sunday, August 28, Canadian National Railway (CN) suspended all rail traffic on its lines south of McComb, Mississippi."
"Initially about 30,000 people moved to the goldfields, but by 1863 this had declined to about 3,500 because of the difficult mining conditions.","About 30,000 people moved to the goldfields, but by 1863 this had declined to about 3,500 because of the difficult mining conditions."
Beresford is a city in Lincoln and Union counties in the U. S. state of South Dakota.,Beresford is in Lincoln and Union counties in the U. S. state of South Dakota.
Becker defeated Jim Courier in straight sets to win the 1992 year-end ATP Tour World Championships in Frankfurt.,Becker defeated Jim Courier in straight sets to win the 1992 year-end ATP Tour World Championships.
His detractors claim he suffered a nervous breakdown during the Rising.,His enemies claim he had a nervous breakdown during the Rising.
"The WIIC calls still reside in Pittsburgh, but on a low-powered independent station airing music videos.","The WIIC calls still reside in Pittsburgh, but on an independent station airing music videos."
"These doppelgängers are typically, but not always, evil in some way.",These doppelgängers are typically evil in some way.
Initially the units were coupled cab-to-cab but it was found more practical to couple Master nose to Slave cab.,The units were coupled cab-to-cab but it was found more practical to couple Master nose to Slave cab.
"Unlike Henry III, Agnes proved incapable of influencing the election of the new popes, Stephen IX and Nicholas II.","Agnes proved incapable of influencing the election of the new popes, Stephen IX and Nicholas II."
"However, Twofish has seen less widespread usage than Blowfish, which has been available for a longer period of time.","Twofish has seen less widespread usage than Blowfish, which has been available for a longer period of time."
Leizu shared her discoveries with others and the knowledge became widespread in China.,Leizu shared her discoveries with others. That's how the knowledge became well known in China.
"In 1961, she made her Metropolitan Opera debut as Aida; the following year she made her debut at the Royal Opera House with the same role.","In 1961, she first performed at Metropolitan Opera as Aida. The next year she played at the Royal Opera House with the same role."
He was also commissioned in 1944 by Yehudi Menuhin to write a Sonata for Solo Violin.,In 1944 he had an order from Yehudi Menuhin to write a Sonata for Solo Violin.
"Historically mills were powered by hand (mortar and pestle), working animal, wind (windmill) or water (watermill).","In the past mills were powered by hand (mortar and pestle). Mills were also powered by working animal, wind (windmill) or water (watermill)."
"2005 According to chapters, Jesus of Nazareth gave this sermon (estimated around AD 30) on a mountainside to his disciples and a large crowd.",Jesus of Nazareth gave this sermon (estimated around AD 30) on a mountainside to his disciples and a large crowd.
"Election The President of the Bundesrat usually is elected on the 1 November in a given year, and serves until the 31 October in the year that follows.","The President of the Bundesrat usually is elected on the 1 November in a given year, and serves until the 31 October next year."
Recovery Russia bounced back from the August 1998 financial crash with surprising speed.,Russia bounced back from the August 1998 financial crash quickly.
"He has, however, managed to nail his own legs to a table, and knocked Neil out during a game of cricket, albeit unintentionally.","He managed to nail his own legs to a table, and knocked Neil out during a game of cricket, albeit unintentionally."
Species are native to tropical and subtropical regions of all continents in addition to the South West Pacific and Australasia.,These species can be found in tropical and subtropical regions of all continents. As well as in the South West Pacific and Australasia.
Ripley is a town in the Amber Valley area of Derbyshire in England.,Ripley is a town in England.
"Her mother was related to Charles Reade, a Victorian novelist.",Charles Reade was a relative of her mother. He is a Victorian novelist.
"In this respect, there is a striking parallel between the Qing / Koxinga situation and the current PRC / ROC situation.","In this way, the Qing / Koxinga and PRC / ROC situation is very similar."
"Geography Unna is situated on the route of an ancient salt-trading route, the Hellweg road.","Unna is on the old salt-trading route, Hellweg road"
"Games released by Sunflowers include the Anno series (Anno 1602, Anno 1503, and Anno 1701), Black Sea Studios' Knights of Honor and SEK's ParaWorld.","Sunflowers made the Anno series, Black Sea Studios' Knights of Honor and SEK's ParaWorld games."
"Consequently, he purposely filmed scenes with actors on the extreme edge of both sides so that they could only be shown in widescreen.","So, he filmed scenes with actors on both edges so that they could only be seen in widescreen."
"Hence, this system is not an official tropical or subtropical cyclone of the 2006 Pacific hurricane season.",So this is not an actual cyclone of the 2006 Pacific hurricane season.
"1979 to 1999 The Jubilee line of 1979 was to be the first of four phases of the project, but lack of funds meant that no further progress was made until the late 1990s.",The Jubilee line of 1979 was the first part of the project. But the lack of funds stopped that until the late 1990s.
"Scarborough railway station serves the seaside town of Scarborough in North Yorkshire, England.",Scarborough railway station serves the town of Scarborough in England.
"Within a decade of its inception, A & M became the world's largest independent record company.",In ten years A & M became the world's largest record company.
"The two wavy lines above and below depict the two rivers which gave the district its name, the Ruhr and the Ennepe.","The two wavy lines above and below represent the two rivers. They gave the district its name, the Ruhr and the Ennepe."
"Author, Peter Preuss, stated that the possum's population faltered in 1997 with current habitat (limited to a 50 - square-kilometre area) under threat from logging.","Author, Peter Preuss, said that the possum's population declined in 1997 under the threat from logging industry."
"Unexpectedly, the German Wehrmacht officers tended to him and sent him to a hospital.",The German officers sent him to a hospital.
"The monastery was entirely rebuilt by lord Smbat of the House of Orbelian, a branch of the Liparitids who were expelled to Armenia in the late 12th century from Georgia.",The monastery was rebuilt by lord Smbat of the House of Orbelian. It is a branch of the Liparitids who were kicked out from Georgia to Armenia.
A new frontal ridge had formed on August 17 which caused the storm to drift in a westerly direction.,A new frontal area formed on August 17 which made the storm move west.
"In 1847 parts of Caldwell County, Iredell County, and Wilkes County were combined to form Alexander County.","parts of Caldwell, Iredell, and Wilkes Counties were fused to make Alexander County."
Much of the ministry of Jesus occurred on the shores of Lake Galilee.,Much of Jesus's church happened on Lake Galilee shores.
"About 2,000 to 3,000 cocoons are required to make a pound of silk.","2,000 to 3,000 cocoons make a pound of silk."
"International English Language Testing System, is an international standardised test of English language proficiency.",The International English Language Testing System is to test English skill.
"According to a letter sent to his church, he and his doctors believed that the cancer was fully treatable.","based on the letter to the church, he and his doctors though the cancer was treatable."
It is adjacent to Lord Wandsworth College.,it is next to Lord Wandsworth College.
"It was to serve as an international auxiliary language, that is, as a universal second language, not to replace ethnic languages.","it was to be an extra second language, not replace the traditional language."
He most recently worked with Slipknot on their new fourth studio album titled All Hope Is Gone.,He recently worked with Slipknot on their fourth album.
"Mostly found in Andhra Pradesh also in Orissa, Tamil Nadu and Karnataka.","It is found in Andhra Pradesh and in Orissa, Tamil Nadu and Karnataka."
Many other authors of this period described eastern Mediterranean cooking in Greek and in Latin.,Many authors of this period wrote about Mediterranean cooking in Greek and in Latin.
The town was built on the mouth of a small tributary; the High Street once met the water at the top of the river.,The town was built on the shore of a small river. The High Street once met the water at the top of the river.
"History U. S. President Woodrow Wilson first proclaimed an Armistice Day for November 12, 1919.","U. S. President Woodrow Wilson first assigned an Armistice Day for November 12, 1919."
Seventh Son (1987) is an alternate history / fantasy novel by Orson Scott Card.,Seventh Son is a different history/fantasy novel by Orsen Card.
"Hillary Diane Rodham Clinton (, born October 26, 1947) is the 67th United States Secretary of State, serving within the administration of President Barack Obama.",Hillary Clinton is the 67th Secretary of States. Shes served in President Barack Obama's administration.
"However, the document is Cherubino's appointment to the army.",That document is Cherubino's selection into the army.
"With an area of 11,980 km ² and 1.3 million inhabitants, Upper Austria is the fourth-largest Austrian state by land area and third-largest by population.",Upper austrailia is the fourth largest state and has the third largest population.
"These books follow the fortunes of Tamara and William Swift, who first appeared in the BBC computer animated web movie Ghosts of Albion: Legacy.",These books follow Tamara and William Swift. They first appeared in the BBC animated movie Ghosts of Albion: Legacy.
How much less depends on the type of RAID.,How much less depends on the type of RAID.
They currently play in the Eastern Division of the National Conference.,Now they play in the East Division of the National Conference.
"The name is thought to be derived from Greta River in Cumberland, England.",The name may come from Greta River in England.
His decision to cut the bridges on the Han River prevented thousands of citizens from escaping Communist rule.,His decision to cut the bridges on the Han River prevented thousands of people from escaping Communist rule.
"Economy and infrastructure The community is home to more than 600 businesses with well over 2,000 jobs.","The community is home to more than 600 businesses with well over 2,000 jobs."
"Elin arrives at Agnes's house, mainly as an excuse to avoid going to a different party, where there will be a boy (Johan) (Mathias Rust) she wants to avoid.","Elin arrives at Agnes's house, in order to avoid going to a different party, where there will be a boy she wants to avoid."
"Serpent is a symmetric key block cipher which was a finalist in the Advanced Encryption Standard (AES) contest, where it came second to Rijndael.",Serpent is a symmetric key block cipher which was a finalist in the Advanced Encryption Standard (AES) contest.  It came in second to Rijndael.
"After 1627, King Louis XIII of France introduced the seigneurial system and forbade settlement in New France by anyone other than Roman Catholics.","After 1627, King Louis XIII of France introduced the seigneurial system and only allowed settlement in New France by Roman Catholics."
"Assuming good faith does not prohibit discussion and criticism, but instead editors should not attribute the actions being criticized to malice unless there is specific evidence of malice.","If good faith allows discussion and criticism, than editors should not assign the criticized actions to evil intentions unless there is specific proof of that."
"The album debuted at number 64 in the US, and number nine in Sweden, higher than any previous Opeth release.","The album reached number 64 in the US, and nine in Sweden/ This higher than any previous Opeth release."
"In Shinto, Takama-ga-hara is the dwelling place of the Kami.","In Shinto, Takama-ga-hara is the place where Kami live."
PackageKit is an open source and free suite of software applications designed to provide a consistent and high-level front end for a number of different package management systems.,PackageKit is an open source and free suite of software applications made to provide a consistent and high-level front end for many package management systems.
"It appears to have lived in wetlands, using two fork-like incisors to shovel up reeds and sedges for food.",It appears to have lived in wetlands.  It used two fork-like teeth to shovel up reeds and sedges for food.
"The battle began a seven-year war which established the Rhine as the boundary of the Roman Empire for the next four hundred years, until the decline of the Roman influence in the West.",The battle began a seven-year war which established the Rhine as the boundary of the Roman Empire for the next four hundred years.
This reflects the fact that the Parliament's President is not part of the executive branch but still ranks higher in (symbolic) importance than the Chancellor.,This reflects the fact that the Parliament's President is not part of the executive branch but is still more important than the Chancellor.
"The exact nature of the transforming principle (DNA) was verified in the experiments done by Avery, McLeod and McCarty and by Hershey and Chase.","The exact nature of the transforming principle (DNA) was verified in the experiments done by Avery, McLeod, McCarty, Hershey and Chase."
"Recuperating for months in a wheelchair, she continued singing to help pay her medical bills.",She continued singing to help pay her medical bills while recovering.
"He legally changed his name to Robert Dylan, and signed a management contract with Albert Grossman.",He legally changed his name to Robert Dylan. He then signed a management contract with Albert Grossman.
Members of the DeCavalcante family believed themselves to be the inspiration for the DiMeo family.,The DeCavalcante family believed themselves to be the inspiration for the DiMeo family.
Sivry-Rance is a Walloon municipality located in the Belgian province of Hainaut.,Sivry-Rance is a Walloon municipality in the Belgian province of Hainaut.
Oliver Cromwell attacked Drogheda in 1649 slaughtering the Royalist garrison (Siege of Drogheda).,Oliver Cromwell attacked Drogheda in 1649 destroying the Royalist garrison.
"Because it was a weak storm and never made landfall, Cristobal's effects were mostly limited to moderate rainfall.",Cristobal's effects were mostly limited to moderate rainfall because it was weak.
Villeneuve-Loubet is a commune in the Alpes-Maritimes department in the Provence-Alpes-Côte d'Azur region in southeastern France.,Villeneuve-Loubet is a commune in the Alpes-Maritimes which is part of the Provence-Alpes-Côte d'Azur region in southeastern France.
The most dominant males can collect as many as 15 - 20 females to mate with.,The most dominant males can have as many as 15 - 20 females to mate with.
"Their unusual size is attributed to island gigantism, since there are no other carnivorous animals to fill the niche on the islands where they live, and also to the Komodo dragon's low metabolic rate.",Their unusual size is attributed to island gigantism. They have a low metabolic rate and no competition for food on the island.
"Located in the Constitution Gardens, the reflecting pool is approximately 2,029 feet (618 m) long and 167 feet (51 m) wide.","The Constitution Gardens reflecting pool is approximately 2,029 feet (618 m) long and 167 feet (51 m) wide."
"When he did tapasya and sadhana at Bavania in Gujarat, he was known as Tallaiya Baba.","When he did tapasya and sadhana at Bavania in Gujarat, he went by the name Tallaiya Baba."
"She first rose to prominence as an academic, barrister, campaigner and member of the Irish senate (1969 – 1989).","She first became known as an academic, barrister, campaigner and member of the Irish senate."
"Boxing, amateur wrestling, puroresu, mixed martial arts and fencing are examples of combat sports.","Boxing, amateur wrestling, puroresu, mixed martial arts and fencing are all combat sports."
"The proportion of C-types may actually be greater than this, because C-types are much darker than most other asteroid types except D-types and others common only at the extreme outer edge of the Main Belt.","The amount of C-types may actually be greater than this, because C-types are much darker than most other asteroid types.  D-types and others are only common at the extreme outer edge of the Main Belt."
Levon V Lusignan of Armenia is imprisoned for several years in Cairo until a ransom is paid by King John I of Castile.,Levon V Lusignan of Armenia is imprisoned in Cairo until a ransom is paid by King John I of Castile.
"However, by the close of the 19th century, the 9th edition was outdated and the Britannica faced significant financial difficulties.","By the end of the 19th century, the 9th edition was outdated and the Britannica faced significant financial difficulties."
"Music Musical numbers Follows is a listing of the thirty-three compositions written by members of The Beatles that are heard on the soundtrack, in the order featured in the film.","Following is a listing of the thirty-three compositions written by members of The Beatles that are heard on the soundtrack, in the order featured in the film."
"On 8 November 1917, Lenin was elected the Chairman of the Council of People's Commissars by the Russian Congress of Soviets.","On 8 November 1917, Lenin was made the Chairman of the Council of People's Commissars by the Russian Congress of Soviets."
"Brantridge Park, Balcombe, West Sussex, England is one of the lesser royal residences.","Brantridge Park, Balcombe, West Sussex, England is one of the smaller royal residences."
"Following his success with Star Trek, he supplemented his income and showed continued support for his fans by making numerous public appearances.","After his success with Star Trek, he increased his income and showed support for his fans by making many public appearances."
"Since it formed at 36 ° N, this system is the northernmost formation in the eastern north Pacific basin.","At 36 ° N, this system is the nothernmost formation in the eastern north Pacific basin"
"While it is a self-contained story, the book continues and develops many of the themes touched on in the first book.","It is its own story, but the book grows many of the topics in the first book"
"Almost all weapons, vehicles, and interactive objects can be placed and moved on maps with Forge.",Almost all interactive objects can be moved on maps with forge
"Biography Howard was born in Stockport, Cheshire, in England on December 7, 1977.","Howard was born in Stockport, Cheshire, in England on December 7, 1977."
"Then, on December 21, 1994 the volcano spewed gas and ash which was carried as far as 25 km (16 mi) away by prevailing winds.","On December 21, 1994 the volcano spewed gas and ash which was carried as far as 25 km (16 mi) away."
The term is applied both to routine weather variations and to extraordinary spells of heat which may occur only once a century.,The term is applied both to routine weather variations and to long spells of heat which may occur only once a century.
U. S. involvement in the war comes to an end.,U. S. involvement in the war ended.
"He traveled over 200,000 miles, an incredible achievement for pre-aviation times.","He traveled over 200,000 miles. It was an achievement for those times."
"The technique is credited to Albert Humphrey, who led a convention at Stanford University in the 1960s and 1970s using data from Fortune 500 companies.",Albert Humphrey created the technique. He gave a presentation at Stanford University in the 1960s and 1970s with data from Fortune 500 companies.
"An organism that obtains carbon from organic compounds but obtains energy from light is called a photoheterotroph, while an organism that obtains carbon from organic compounds but obtains energy from the oxidation of inorganic compounds is termed a chemoheterotroph.","An organism that gets carbon from organic materials and gets energy from light is called a photoheterotroph, While an organism that gets energy from the oxidation of inorganic materials is called a chemoheterotroph."
"Altogether, the constellation contains about 50 galaxies observable through amateur telescope.",The constellation has around 50 visible galaxies.
"It was first released in Japan for the Nintendo 64 on April 14, 2001.","Japan got it first on the Nintendo 64 on April 14, 2001."
"The Republican Party is one of the two major contemporary political parties in the United States, along with the Democratic Party.",The Republican Party is one of the two major contemporary political parties in the United States.  The Democratic Party is the other.
"In the past 20 years or so, many new anchor designs have appeared.",New anchor designs have appeared over the past two decades.
The Armenian legion was established under the goals of the Armenian national liberation movement and was an armed unit besides the Armenian volunteer units and Armenian militia during World War I which fought against the Ottoman Empire.,The Armenian legion was created under the goals of the Armenian national liberation movement was an armed unit along with the Armenian volunteer units and Armenian militia during World War I.   They fought against the Ottoman Empire.
It is said to be electrogenic; a fish that has the ability to detect electric fields is said to be electroreceptive.,It is said to be electrogenic; A fish that can find electric fields is said to be electroreceptive.
He reigned from 1804 to 1824.,He was in power from 1804-1824.
A supermassive black hole is a black hole with a mass of the order of between 105 and 1010 solar masses.,A supermassive black hole has a mass of 105-1010 suns.
It was also on the London Sunday Times best-seller list for more than four years.,For over four years iy was on the London Sunday Times best-seller list.
"Legacy of Kings In February 1998, the recording of Legacy of Kings began.","In 1998, the recording of Legacy of Kings started."
For example she frequently sings traditional songs with a piano accompaniment.,She often sings traditional songs with a piano music.
"Elizabeth Ann Smart (born November 3, 1987) is an American woman who was abducted from her Salt Lake City, Utah bedroom on June 5, 2002 at the age of 14.","Elizabeth Ann Smart is an American woman who was kidnaped from her bedroom in Salt Lake City, on June 5, 2002 at the age of 14."
"Further, the term ""The Celsius or Centigrade thermometer"" was again used in reference to a particular type of thermometer at least as early as 1850.","The term ""The Celsius or Centigrade thermometer"" was again used for certain thermometers in 1850."
Earth is the only place in the universe where life has been confirmed to exist.,Earth is the only place in the universe where life is known to exist.
"It consisted of the American, British, and French occupation sectors established in 1945.","It was made of the American, British, and French occupation sectors created in 1945."
"Origins Initially a part of Urartu, Sophene became a province of the newly emerged ancient Armenian Kingdom of Orontids around 600 BC.",Sophene was a part of Urartu.  It became a province of the newly emerged Armenian Kingdom of Orontids around 600 BC.
"However, there are exceptions to this rule, such as defense rather than defence.",There are exceptions to this rule like defense rather than defence.
All of the Office 95 products have OLE 2 capacity — moving data automatically from various programs — and PowerPoint 7 shows that it was contemporary with Word 7.,Office 95 products have OLE 2 capacity which means data can be moved between programs.
Littlest Pet Shop is a toy franchise owned by Hasbro.,Littlest Pet Shop are stores by Hasbro.
Kievan Rus' ultimately disintegrated and the lands were divided into many small feudal states.,Kievan Rus' stopped existing and the lands were divided into many small states.
"Occasionally, she starred in ""Maestro Minnie"" Maestro Minnie.","She also played in ""Maestro Minnie""."
Seeds of several species are the source of the popular beverage coffee.,Seeds of several species make up the popular beverage coffee.
A medical emergency is an injury or illness that is acute and poses an immediate risk to a person's life or long term health.,A medical emergency is an injury or illness that is bad and poses an immediate risk to a person's life or long term health.
Some notable series that trace their look and feel to Wizardry include The Bard's Tale and Might and Magic.,Some notable series that trace their vibe to Wizardry include The Bard's Tale and Might and Magic.
"Backstory The general plot of the game is that a team of four, an Alien, a Human, an Android, and a Psionic, have left Earth aboard a spacecraft on the basis of the planet's imminent destruction.","The general story of the game is that a team of four, an Alien, a Human, an Android, and a Psionic, have left Earth on a spacecraft escaping the planet's imminent destruction."
Eastman and Kotik performed together extensively in the early to mid 1970s.,Eastman and Kotik worked together a lot in early/mid 1970's.
"Prior to World War I, the Near East referred to relatively nearby lands of the Ottoman Empire, Middle East to northwestern South Asia and Central Asia, and Far East for countries along the western Pacific Ocean and countries along the eastern Indian Ocean.","Before WWI, the Near east was the Ottoman Empire, Middle east, South Asia, and Central Asia.  The Far East were countries along the Pacific Ocean and the Indian Ocean."
A considerable amount of research has been put into designs that avoid these delays as much as possible.,A lot of research went into designs to avoid delays as much as possible.
"The storm continued, crossing the Outer Banks of North Carolina, and retained its strength until June 20 when it became extratropical near Newfoundland.",The storm continued until going extratropical near Newfoundland on June 20. Its crossed North Carolinas Outer Banks.
"Web colors are colors used in designing web pages, and the methods for describing and specifying those colors.","Web colors are used in designing, describing, and specifying web pages colors."
The rotation period could not be estimated conclusively (best fit ~ 4 h).,The rotation period could not be estimated for certain.
"RC4 was initially a trade secret, but in September 1994 a description of it was anonymously posted to the Cypherpunks mailing list.",RC4 was a trade secret. In September 1994 its description was anonymously posted to eh Cypherpunks mailing list.
"For example, 1.5 & times; 30 (which equals 45) will show the same result as 1,500,000 & times; 0.03 (which equals 45,000).","For example, 1.5 times 30 will have the same result as 1,500,000 times 0.03."
It is currently used mostly for football matches and is the home stadium of Association Sportive SONABEL.,It is used mostly for football matches and is the stadium of SONABEL.
It is the fourth Metal Gear game produced and directed by Kojima and the direct sequel to Metal Gear Solid.,It is the fourth Metal Gear game created by Kojima.
His travel writings and his extensive diaries and correspondence have also been published.,His travel writings and his many diaries and letters have also been published.
"Blade of Fire is the second novel in Stuart Hill's fantasy series, the Icemark Chronicles.","Blade of Fire is the second novel in Stuart Hill's book ""the Icemark Chronicles""."
"The Spanish did not manage to conquer the island until 1697, after several attempts, that begun in 1629, when they marched in, from Corozal in Belize, Yucatán and Alta Verapaz, attacked via boats and destroyed it.","The Spanish did not manage to conquer the island until 1697.  Attempts begun in 1629, when they marched in, from Corozal in Belize, Yucatán and Alta Verapaz, attacked via boats and destroyed it."
Meanwhile the KLI has about 20 of those former Beginners' Grammarians.,KLI has about 20 of the former Beginners' Grammarians.
It formed on July 19 from a trough of low pressure off the Southeast U. S. Coast.,It formed on July 19 off the Southeast U. S. Coast.
George Bernard Shaw (26 July 1856 2 November 1950) was an Irish playwright.,George Bernard Shaw was an Irish playwright.
"A road movie set across Canada, its tagline was They came.",A movie set in Canada with the tagline They came.
"8 Flora (,) is a large, bright main belt asteroid.",8 Flora is a main belt asteroid.
Cocoa was an important commodity in Pre-Columbian Mesoamerica.,Cocoa was a valuable resource in Mesoamerica.
A game played in a browser is often called a browser-based game (BBG).,A browser-based game is played in a browser.
His team had been vanquished in two consecutive games by the Montreal Canadiens in 1929 – 30.,His team had been defeated in both games by the Montreal Canadiens in 1929 – 30.
"This was a quite sensitive topic at the time, since Poland was concerned that someday a German government would seek to reclaim some of this traditionally Germany territory given to Poland after World War II.","This was a sensitive topic, because Poland worried that someday a German government would try to return it's original territory which was given to Poland after World War II."
"Many of these officers were black and had a fear that as they blended in very well they would be mistaken for a criminal by other police officers, especially in case of drawing their gun in an emergency.",Many of these officers were black and were afraid they would be mistaken for a criminal by other police officers.
The Alabama state legislature formed additional counties from former Indian lands as the Indian Removal Act took effect and settlers populated different areas of Alabama.,The Alabama state formed counties from Indian lands. Because the Indian Removal Act became active and people moved to different areas of Alabama.
"Established in 1892 / 93, the Sheffield Shield is the premier domestic first class cricket competition in Australia.","Created in 1892 / 93, the Sheffield Shield is the local first class cricket competition in Australia."
"He was a leading figure in the German political party Alliance '90 / The Greens, and according to opinion polls, he was the most popular politician in Germany for most of the government's duration.",He was a leader in the German political party Alliance '90-The Greens. He also was the most popular politician in Germany during that time.
Bonham Carter will be starring alongside Matthew Macfadyen and Denis Lawson.,Bonham Carter will be playing in the movie with Matthew Macfadyen and Denis Lawson.
"Genotype and Mendelian inheritance The distinction between genotype and phenotype is commonly experienced when studying family patterns for certain hereditary diseases or conditions, for example, haemophilia.",The difference between genotype and phenotype is found when studying family patterns of passed on diseases or conditions like haemophilia.
Only the Congress can pass changes to FIFA's statutes.,Only the Congress make changes to FIFA's statutes.
Between 1898 and 1901 he was a choral coach and subsequently an assistant conductor at the Bayreuth Festival.,Between 1898 and 1901 he was a choral coach and later an assistant conductor at the Bayreuth Festival.
"The elements are thus distinguished: Yang Wood, Yin Wood, Yang Fire, Yin Fire, etc.","The elements mean; Yang Wood, Yin Wood, Yang Fire, Yin Fire, etc."
The game includes elements of role-playing and business simulation games.,The game has elements of role-playing and business games.
In 1974 he was tried and acquitted of participating in the raid that rescued Baader.,in 1974 he was tried and cleared of helping in the raid the rescued Baader.
Spandau was given city rights in 1232.,Spandau was given rights in 1232.
Max and Moritz as well as many of his other picture stories are regarded as one of the main precursors of the modern comic strip.,Max and Mortiz plus many other picture stories are one of the main starts to his current comic strip.
"Polydor Records is a record label currently headquartered in the UK, and is a subsidiary of Universal Music Group.","Polydor Records label's main office is in the UK, and is a part of Universal Music Group."
He even envisioned centralized air conditioning that could cool entire cities.,He pictured city-wide central air conditioners.
"Following the December 2007 decision by landlords, the Vale of Glamorgan Council to terminate the £65,000 funding of the Barry Island Railway, the society struggled to maintain a service.","After the December 2007, the Vale of Glamorgan Council terminated the funding of the Barry Island Railway, they could not keep a service."
"David W. Dunham, The Minor Planet Bulletin, Volume 6, p. 13 - 14 (December 1978) ADS archive copy However, careful examination in 1993, using the Hubble Space Telescope, failed to locate a secondary.","David Dunhams Minor Planet Bulletin, Volume 6, p. 13-14 archived it, but after careful study in 1993, The Hubble Space Telescope could not find another."
"It was developed from farming land during the 1990s and early 21st century, and sits between the historic villages of Mangotsfield and Downend.",It was made between the villages of Mangotsfield and Downend from farming land in the 1990s and early 21st century.
"The valleys of the Waimea River and its tributary, the Makaweli River, were once heavily populated.","The valleys of the Waimea River and the Makaweli River, were once heavily populated."
Economy Up to the 20th century Nidwalden was dominated by agriculture.,Up to the 20th century Nidwalden was dominated by agriculture.
Fierce Creatures is a 1997 comedy film.,Fierce Creatures is a 1997 comedy movie.
"Proteus is very cratered, showing no sign of any geological modification.","Proteus has holes, showing no sign of any geological change."
It also featured original ECW talent.,It also had original ECW talent.
"The city's Inca architecture, however, withstood the earthquake.",The city's Inca architecture withstood the earthquake.
"Jedin, 138 By specifying Catholic doctrine on salvation, the sacraments, and the Biblical canon, the Council was answering Protestant disputes.","By referencing Catholic doctrine on salvation, the sacraments, and the Biblical canon, the Council answered Protestant arguments."
"Turkestan (literally meaning ""Land of the Turks"") is a region in Central Asia, which today is largely inhabited by Turkic peoples.","Turkestan is a region in Central Asia, which today is largely inhabited by Turkic peoples."
"On April 7, 2004, Messing gave birth to their son, Roman Walker Zelman.","Messing gave birth to Roman Zelman on April 7, 2004."
"In 1887, was reorganized into a stock company.",was changed to a stock company in 1887.
"Cheaha Mountain, often called Mount Cheaha, is the highest point in the U. S. state of Alabama.",Mount Cheaha is the highest point in Alabama.
Their sound can be described as Celtic folk metal with melodic death metal influences.,It sounds like a mix of Celtic folk and melodic death metal.
The former location of the fort is currently called the Place de la Bastille.,The former location of the fort is called the Place de la Bastille.
Pueblos are traditional communities of Native Americans in the southwestern United States of America.,Pueblos are homes of Native Americans in the southwestern United States of America.
Cash transactions are rounded to the nearest five cents.,Cash purchases are rounded to the nearest five cents.
This advanced protocol will not work with some older network cards.,This advanced protocol won't work on older network cards.
"By the age of 21, he was already recognized for composing more than 200 songs.","By the age of 21, he was known for creating more than 200 songs."
Waterson took the Labour whip in Parliament.,Original: Waterson became the enforcer in Parliament.
"The cyclone continued tracking northwestward, making landfall around 0000 UTC on September 22 near Fort Walton Beach, Florida with winds of 35 mph (55 km / h).","The cyclone moved northwest, reaching land at Fort Walton Beach, Florida with winds of 35 mph."
Poutrincourt's son bequeathed the settlement to Charles de Saint-Étienne de la Tour upon his own death in 1623.,After death Poutrincourt's son gave the settlement to Charles de Saint-Étienne de la Tour upon.
"The first minaret was constructed in 665 in Basra during the reign of the Umayyad caliph Muawiyah I. Muawiyah encouraged the construction of minarets, as they were supposed to bring mosques on par with Christian churches with their bell towers.","The first minaret was built in Basra, year 665, under Umayyad caliph Muawiyah I's rule. He urged their constructions to make mosques as good as Christian bell tower churches."
